#;Название;Категории;Сайт;Email;Адрес;Широта;Долгота;Телефоны;Тип;Время работы;Информация;Цвет;Оплачена;Исключена из ЛК
1467347;Алексин | Слухи;Информационные порталы, группы, блоги;https://vk.com/alexin_gossip;;;;;;org;;Слухи – это место, где можно анонимно излить душу, поделиться своим мнением, рассказать или узнать последние слухи города.;;Нет;Нет
1508056;Арборист;Другое;http://www.spilim-derevo.com;;Тульская обл., Алексин, ул. Чехова, 8а;54.482882;36.994582;+7 (919) 081-73-37;org;ежедневно, 9:00-18:00;;;Нет;Нет
1508057;Собор Успения Пресвятой Богородицы в Алексине (новый);Церкви, храмы, монастыри;;;Тульская обл., Алексинский р-н, г. Алексин, Соборная площадь 1;54.516673;37.083236;+7 (48753)  6-23-09;org;;;;Нет;Нет
1508058;Церковь Алексия Цесаревича в Алексине;Церкви, храмы, монастыри;http://tsarevich.cerkov.ru/;tsarevich-aleksii@yandex.ru;Тульская обл., Алексинский р-н, г. Алексин, мкрн. Бор;54.52124;37.084252;;org;;;;Нет;Нет
1508059;Церковь в Алексине МКР Петровка;Церкви, храмы, монастыри;;;Тульская обл., Алексинский р-н, г. Алексин, ул. Дружбы, у д. 9;54.48432;37.000762;;org;;;;Нет;Нет
1508060;Здесь аптека;Аптеки;;;Тульская обл., Алексин г., ул. Металлистов, 17;54.483567;36.987737;+7 (48753)5-62-36;org;ежедневно, 8:00-19:00;;;Нет;Нет
1508061;7 Sky;Двери;;;Тульская обл., Алексинский р-н, Алексин, ул. Чехова, 8а;54.482613;36.99399;+7 (919) 081-73-37;org;ежедневно, 9:00-18:00;;;Нет;Нет
1508062;Пятёрочка;Пятёрочка;http://www.pyaterochka.ru;;Тульская обл., Алексин г., ул. Дружбы, 7;54.4843;36.9981;8 (800) 555-55-05;org;ежедневно, 08:00-23:00;;;Нет;Нет
1508063;Роспечать;Роспечать;http://www.rosp.ru;;Тульская обл., Алексин г., ул. Металлистов, 15, мкр. Петровское;54.483049;36.987961;;org;;;;Нет;Нет
1508064;Московский индустриальный банк, банкомат;Московский индустриальный банк;http://www.minbank.ru;;Тульская обл., Алексин г., ул. Металлистов, 6;54.484102;36.98913;+7 (4872) 34-14-73, 8 (800) 100-74-74;org;;;;Нет;Нет
1508065;"МБОУ ""Средняя общеобразовательная школа 9""";Общеобразовательные школы;;;Тульская обл., Алексинский р-н, Алексин г., ул. Школьная, 4;54.483065;36.990047;+7 (48753) 5-61-89;org;;;;Нет;Нет
1508066;Экоцентр;Хозтовары;;;Тульская обл., Алексинский р-н, Алексин г., ул. Металлистов, 6;54.483797;36.988949;+7 (48753) 5-55-23;org;ежедневно, 10:00-19:00;;;Нет;Нет
1508067;Клён;"Мебель на заказ; Дача, сад и огород";http://oooklen.ru;;Тульская обл., Алексин г., Красное дер., ул. Школьная, 1;54.485141;36.993288;+7 (487) 238-48-42;org;пн-пт 8:00-17:00;;;Нет;Нет
1508068;Московский кредитный банк, платежный терминал;Московский Кредитный Банк;http://mkb.ru;;Тульская обл., Алексин г., ул. Дружбы, 7, Универсам Пятерочка;54.484181;36.99795;+7 (495) 777-48-88, 8 (800) 100-48-88;org;ежедневно, 8:00-23:00;;;Нет;Нет
1508069;Россельхозбанк;Россельхоз банк;http://www.rshb.ru;;Тульская обл., Алексин г., ул. Юности, 2;54.526016;37.083362;8 (800) 200-60-99, +7 (4872) 55-00-86, 8 (800) 200-02-90, +7 (4872) 55-00-89;org;пн-пт 9:30-17:30;;;Нет;Нет
1508070;Сбербанк России, банкомат;Сбербанк России;http://www.sberbank.ru;;Тульская обл., Алексин г., ул. Здоровья, 11а;54.52532;37.08065;8 (800) 555-55-50;org;;;;Нет;Нет
1508071;Сбербанк России;Сбербанк России;http://www.sberbank.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 16;54.525615;37.082677;8 (800) 555-55-50, +7 (495) 500-55-50;org;"пн-пт 9:00-18:30; сб 9:00-17:00";;;Нет;Нет
1508072;ВТБ 24, банкомат;ВТБ;http://www.vtb24.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 19, БРИС;54.527427;37.082986;8 (800) 100-24-24;org;;;;Нет;Нет
1508073;Сбербанк России, банкомат;Сбербанк России;http://www.sberbank.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 16;54.52553;37.08262;8 (800) 555-55-50;org;ежедневно, круглосуточно;;;Нет;Нет
1508074;Алексинский детский дом, ГОУ ТО;Социальная защита;;;Тульская обл., Алексинский р-н, Алексин г., ул. 50 лет ВЛКСМ, 15;54.531607;37.084817;+7 (48753) 6-75-12;org;;;;Нет;Нет
1508075;Газпромбанк;"Банки и банкоматы; Газпромбанк";http://www.gazprombank.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 16;54.525508;37.082585;8 (800) 100-07-01;org;пн-пт 9:30-17:00;;;Нет;Нет
1508076;Поликлиника 3;Поликлиники;;;Тульская обл., Алексинский р-н, Алексин г., ул. 50 лет Октября, 21;54.527411;37.082572;+7 (48753) 6-77-94, +7 (48753) 6-78-28, +7 (48753) 6-77-03;org;;ГУЗ Алексинская районная больница № 1 им. В.Ф. Снегирева;;Нет;Нет
1508077;Экспресс-Дент;Стоматология;http://express-dent.ru;;Тульская обл., Алексинский р-н, Алексин, ул. Юности, 5;54.526445;37.085419;+7 (48753) 6-36-00, +7 (48753) 6-88-96;org;"пн-пт 9:00-20:00; сб 9:00-14:30";;;Нет;Нет
1508078;Нотариус Ермошина Людмила Александровна;Нотариусы;http://notariusaleksin.ucoz.ru;;Тульская обл., Алексинский р-н, Алексин г., ул. Юности, 2;54.526016;37.083362;+7 (48753) 6-07-37;org;;;;Нет;Нет
1508080;Универсам Магнит;Магнит;http://www.magnit-info.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 17;54.526061;37.081848;8 (800) 200-90-02;org;ежедневно, 9:00-21:00;;;Нет;Нет
1508081;Магнит Косметик;"Хозтовары; Косметика и парфюмерия, бытовая химия";http://www.magnit-info.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 17;54.525845;37.081636;8 (800) 200-90-02;org;ежедневно, 9:30-20:30;;;Нет;Нет
1508082;Московский индустриальный банк, банкомат;Московский индустриальный банк;http://www.minbank.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 19;54.526711;37.082221;8 (800) 100-74-74, +7 (4872) 34-14-73;org;;;;Нет;Нет
1508084;"МФЦ Тульской области МКР ""БОР""";Многофункциональный центр МФЦ;http://mfc71.ru;;Тульская обл., Алексин, ул. 50 лет Октября, 23;54.528054;37.082563;+7 (800) 4500071;org;"пн-пт 8:00-20:00; сб 9:00-16:00";;;Нет;Нет
1508085;Газэнергобанк;Газэнерго банк;http://www.gebank.ru;;Тульская обл., Алексинский р-н, Алексин г., ул. 50 лет Октября, 19а;54.526346;37.082715;8 (800) 700-30-00;org;;Банкомат;;Нет;Нет
1508087;Юнистрим;Другое;http://www.unistream.ru;;Тульская обл., Алексин г., ул. Юности, 2;54.526016;37.083362;+7 (48753) 6-16-13, 8 (800) 333-22-44;org;пн-пт 9:30-17:30;;;Нет;Нет
1508088;Ремонт телевизоров;Другое;;;Тульская обл., Алексин г., ул. 50 лет Октября, 50;54.52553;37.08111;+7 (915) 789-56-29;org;ежедневно, 9:00-21:00;;;Нет;Нет
1508089;Зелёный город;Агентства недвижимости;http://zegor.ru;;Тульская обл., Алексин г., ул. Юности, 2а;54.526016;37.083362;+7 (953) 426-37-37;org;пн-сб 9:00-18:00;;;Нет;Нет
1508093;Магазин № 5, Алексинское РАЙПО;Продукты;;;Тульская обл., Алексинский р-н, Алексин г., ул. 50 лет Советской Армии, 19а;54.529271;37.084826;+7 (48753) 6-00-91;org;;;;Нет;Нет
1508094;Contact;Другое;http://www.contact-sys.com;;Тульская обл., округ Алексин, Алексин, ул. 50 лет Октября, 19а;54.526346;37.082715;+7 (48753) 6-80-63, 8 (800) 200-42-42;org;ежедневно, 9:00-20:00;;;Нет;Нет
1508095;SPAR;SPAR;http://www.spartula.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 19;54.526711;37.082221;8 (800) 100-90-39;org;ежедневно, круглосуточно;;;Нет;Нет
1508096;Лидер;Другое;http://www.leadermt.ru;;Тульская обл., Алексинский р-н, Алексин г., ул. 50 лет Октября, 15а;54.52553;37.081107;8 (800) 333-44-44, +7 (4872) 55-77-55;org;"пн-пт 9:00-19:00; сб 9:00-16:00";;;Нет;Нет
1508097;Юнистрим;Другое;http://www.unistream.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 19а;54.5267;37.0822;+7 (48753) 6-80-63, 8 (800) 333-22-44;org;пн-пт 9:00-19:00;;;Нет;Нет
1508098;Газэнергобанк, банкомат;Банки и банкоматы;http://www.gebank.ru;;Тульская обл., Алексинский р-н, Алексин г., ул. 50 лет Октября, 19а;54.526346;37.082715;+7 (4848) 55-77-55, 8 (800) 700-30-00;org;;;;Нет;Нет
1508099;МБУ ДО Центр психолого-педагогической медицинской и социальной помощи;Социальная защита;http://cpmss.obraleksin.ru;aleksin.cppmsp@tularegion.ru;Тульская обл., Алексинский р-н, Алексин г., ул. 50 лет ВЛКСМ, 10;54.528524;37.083183;+7 (48753) 6-74-77, 67523;org;Обед 12:00-12:30;;;Нет;Нет
1508101;Western Union;Другое;http://www.westernunion.ru;;Тульская обл., Алексин г., ул. Юности, 2, АО Россельхозбанк;54.526016;37.083362;8 (800) 200-22-32;org;вт-сб 9:30-17:30;;;Нет;Нет
1508102;MoneyGram;Другое;http://ru.moneygraminfo.com;;Тульская обл., Алексин г., ул. 50 лет Октября, 16, Сбербанк;54.525483;37.08268;8 (800) 500-92-53;org;пн-сб 9:00-18:45;;;Нет;Нет
1508103;Управдом;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Здоровья, 3;54.525739;37.07994;+7 (48753) 6-78-67;org;;;;Нет;Нет
1508104;Орхидея-парфюм;Косметика и парфюмерия, бытовая химия;http://orhideya-parfum.ru;;Тульская обл., Алексинский р-н, Алексин, ул. 50 лет Октября, 17;54.525959;37.081673;+7 (910) 702-02-34;org;"пн 10:00-21:00; вт-вс 10:00-20:00";;;Нет;Нет
1508105;Сбербанк России, платежный терминал;Сбербанк России;http://www.sberbank.ru;;Тульская обл., Алексин г., ул. 50 лет Октября, 23;54.52805;37.08261;8 (800) 555-55-50;org;;;;Нет;Нет
1508106;МБУ ДО «ДЮСШ «Горизонт» ;"Спортивные центры, клубы; Спортивные школы; Спортивные секции";http://gorizont.obraleksin.ru;aleksin.dushgorizont@tularegion.org;Тульская обл., Алексинский р-н, Алексин г., ул. Революции, 10;54.525217;37.068801;+7 (48753) 6-75-54;org;;;;Нет;Нет
